timestamp,loc,status,PM2_5,PM10
2019-11-25 22:47:38,"Oferuję usługi cena: 80 złZwyżka, podnośnik koszowy Oferuję usługi podnośnikiem koszowym-zwyżka na samochodzie wysokość robocza 16m  kontakt z ogłoszeniodawcą",,,
2019-11-25 22:47:38,Lubartów ul. Lubelska 36B,Dobry,25,28
2019-11-25 22:47:38,Lubartów ul. Słowackiego 14,Umiarkowany,42,51
2019-11-25 22:47:38,Lubartów ul. Kosmonautów,Umiarkowany,58,69
2019-11-25 22:47:38,Lubartów ul. Szulca,Dobry,25,28
2019-11-25 22:47:38,Lubartów ul. Przechodnia,Umiarkowany,43,48
