timestamp,loc,status,PM2_5,PM10
2019-12-15 15:26:16,"NieruchomościBudynek z działką do wynajęcia Wynajmę w całości lub w części nowo budowany obiekt usługowy  przy ul. Krańcowej 17 w Lubartowie , który może być przeznaczony na wiele rodzajów działalności - siedziba firmy , bank , sklep , hurtownia , itp.  Budynek jest dwukondygnacyjny , ma wymiary 25 x 10 m , powierzchnia całkowit...  kontakt z ogłoszeniodawcą",,,
2019-12-15 15:26:16,Lubartów ul. Lubelska 36B,Dobry,35,43
2019-12-15 15:26:16,Lubartów ul. Słowackiego 14,Dobry,33,39
2019-12-15 15:26:16,Lubartów ul. Kosmonautów,Zły,86,106
2019-12-15 15:26:16,Lubartów ul. Szulca,Dobry,29,33
2019-12-15 15:26:16,Lubartów ul. Przechodnia,Umiarkowany,40,45
