timestamp,loc,status,PM2_5,PM10
2019-11-26 20:16:46,"Dam pracę / zlecenieStudentów do sklepu internetow BookSale sp z o. o. z siedzibą w Lubartowie, właściciel sklepu internetowego BookSale.pl i księgarń sezonowy nad Polskim Morzem, w związku z szybkim rozwojem firmy poszukuje pracowników na stanowisko Specjalista do spraw sprzedaży internetowej.",Oferujemy:,- pracę w młodym i dynamicznie r...  kontakt z ogłoszeniodawcą,
2019-11-26 20:16:46,Lubartów ul. Lubelska 36B,Dobry,24,28
2019-11-26 20:16:46,Lubartów ul. Słowackiego 14,Umiarkowany,50,63
2019-11-26 20:16:46,Lubartów ul. Kosmonautów,Zły,104,124
2019-11-26 20:16:46,Lubartów ul. Szulca,Dobry,35,39
2019-11-26 20:16:46,Lubartów ul. Przechodnia,Dostateczny,61,69
