timestamp,loc,status,PM2_5,PM10
2019-12-01 19:52:16,Dam pracę / zleceniePRACOWNIK PRODUKCJI BRW Na stanowisku Pracownika Produkcji (BRW SA- Chlewiska 68) będziesz bezpośrednio uczestniczył w procesie produkcyjnym.,"Przed Tobą ciekawe wyzwania, a wśród nich:",-             przygotowywanie materiałów do obróbki,-             wykonywanie poszczególnych elementów na podstawie rysunku t...  kontakt z ogłoszeniodawcą
2019-12-01 19:52:16,Lubartów ul. Lubelska 36B,Dostateczny,62,82
2019-12-01 19:52:16,Lubartów ul. Słowackiego 14,Dostateczny,64,82
2019-12-01 19:52:16,Lubartów ul. Kosmonautów,Zły,84,100
2019-12-01 19:52:16,Lubartów ul. Szulca,Dostateczny,69,78
2019-12-01 19:52:16,Lubartów ul. Przechodnia,Dobry,36,39
