timestamp,loc,status,PM2_5,PM10
2019-12-07 13:03:30,Dam pracę / zleceniePRACOWNIK PRODUKCJI BRW Na stanowisku Pracownika Produkcji (BRW SA- Chlewiska 68) będziesz bezpośrednio uczestniczył w procesie produkcyjnym.,"Przed Tobą ciekawe wyzwania, a wśród nich:",-             przygotowywanie materiałów do obróbki,-             wykonywanie poszczególnych elementów na podstawie rysunku t...  kontakt z ogłoszeniodawcą
2019-12-07 13:03:30,Lubartów ul. Lubelska 36B,Dobry,27,31
2019-12-07 13:03:30,Lubartów ul. Słowackiego 14,Umiarkowany,46,54
2019-12-07 13:03:30,Lubartów ul. Kosmonautów,Dobry,36,43
2019-12-07 13:03:30,Lubartów ul. Szulca,Dobry,24,27
2019-12-07 13:03:30,Lubartów ul. Przechodnia,Dobry,21,23
